City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,paita,-5.0892,-81.1144,21.66,84,100,5.4,PE,1691549364
83,yellowknife,62.456,-114.3525,20.29,45,75,5.66,CA,1691549045
84,geraldton,-28.7667,114.6,18.23,63,0,5.66,AU,1691549197
85,kavaratti,10.5669,72.642,28.04,75,100,7.83,IN,1691549183
86,klyuchi,52.2667,79.1667,23.29,39,48,1.07,RU,1691549089
87,holualoa,19.6228,-155.9522,27.91,75,40,5.66,US,1691549107
88,plouzane,48.3833,-4.6167,15.18,100,100,1.54,FR,1691549367
89,ribeira grande,38.5167,-28.7,24.32,94,92,8.49,PT,1691549137
90,barcelona,41.3888,2.159,24.74,80,20,1.54,ES,1691549207
91,waddan,29.1614,16.139,21.18,80,0,2.78,LY,1691549139
92,sisimiut,66.9395,-53.6735,6.38,70,22,0.95,GL,1691549176
93,rio preto da eva,-2.6994,-59.6997,28.56,49,100,0.87,BR,1691549369
94,puerto ayora,-0.7393,-90.3518,23.68,76,88,4.3,EC,1691549081
95,kismayo,-0.3582,42.5454,24.06,84,23,6.67,SO,1691549370
96,ilulissat,69.2167,-51.1,6.01,75,75,0.51,GL,1691549117
97,hamilton,39.1834,-84.5333,23.74,77,40,4.63,US,1691548917
98,strezhevoy,60.7333,77.5889,20.07,53,72,3.91,RU,1691549076
99,saudarkrokur,65.7461,-19.6394,6.83,75,12,2.93,IS,1691549128
100,talnakh,69.4865,88.3972,21.23,45,77,0.26,RU,1691549127
101,college,64.8569,-147.8028,19.21,81,100,2.06,US,1691549034
102,port mathurin,-19.6833,63.4167,22.27,61,95,8.2,MU,1691549087
103,new london,41.4834,-72.0662,22.97,81,2,3.9,US,1691549373
104,arica,-18.475,-70.3042,19.13,77,100,3.6,CL,1691549374
105,san patricio,28.017,-97.5169,30.3,77,0,6.75,US,1691549316
106,invercargill,-46.4,168.35,6.68,73,92,4.92,NZ,1691548983
107,codrington,-38.2667,141.9667,15.44,61,0,9.08,AU,1691549116
108,georgetown,5.4112,100.3354,30.96,73,20,1.54,MY,1691549094
109,cooper's town,26.8667,-77.5167,30.14,69,7,3.89,BS,1691549376
110,kruisfontein,-34.0033,24.7314,12.71,90,100,2.23,ZA,1691549240
